time_of_day,day_of_week,road_name,vehicle_count,avg_speed,rainfall,holiday,incident,weather,congestion_level
11,1,Bannerghatta Road,616,33.84,0.0,0,0,Cloudy,Low
5,1,Silk Board Junction,238,30.52,35.5,0,0,Heavy Rain,Low
3,6,Hebbal Flyover,151,29.93,42.81,1,0,Heavy Rain,Medium
16,3,Hebbal Flyover,262,29.89,37.45,0,0,Heavy Rain,Medium
12,3,Whitefield Main Road,276,29.05,40.97,0,0,Heavy Rain,Medium
1,1,Whitefield Main Road,167,38.33,0.0,0,0,Cloudy,Low
3,1,Hebbal Flyover,188,38.12,0.0,0,0,Cloudy,Low
15,1,MG Road,201,37.99,0.0,0,0,Cloudy,Low
8,0,Outer Ring Road,542,34.58,0.0,0,0,Cloudy,Low
1,2,Electronic City Flyover,174,38.26,0.0,0,0,Cloudy,Low
20,0,Brigade Road,625,33.75,0.0,0,0,Cloudy,Low
19,5,Brigade Road,418,28.08,38.69,1,0,Heavy Rain,Medium
2,2,Whitefield Main Road,269,28.12,45.95,0,0,Heavy Rain,Medium
20,1,Electronic City Flyover,661,18.39,0.0,0,1,Cloudy,Medium
9,1,Brigade Road,713,31.26,8.06,0,0,Rainy,Low
5,0,Whitefield Main Road,204,37.96,0.0,0,0,Clear,Low
19,2,Indiranagar 100ft Road,728,30.19,12.67,0,0,Rainy,Low
15,1,Brigade Road,225,37.75,0.0,0,0,Clear,Low
2,6,Outer Ring Road,104,31.25,38.56,1,0,Heavy Rain,Low
15,6,Silk Board Junction,135,38.65,0.0,1,0,Clear,Low
8,1,Bannerghatta Road,488,35.12,0.0,0,0,Cloudy,Low
1,2,Hebbal Flyover,219,37.81,0.0,0,0,Clear,Low
21,3,Hebbal Flyover,280,37.2,0.0,1,0,Cloudy,Low
3,1,Sarjapur Road,246,37.54,0.0,0,0,Clear,Low
20,0,Brigade Road,726,32.74,0.0,0,0,Cloudy,Low
14,1,Sarjapur Road,230,37.7,0.0,0,0,Cloudy,Low
8,5,Bannerghatta Road,434,35.66,0.0,1,0,Clear,Low
2,4,Silk Board Junction,264,37.36,0.0,0,0,Cloudy,Low
4,6,Bannerghatta Road,165,29.88,42.35,1,0,Heavy Rain,Medium
19,4,Electronic City Flyover,562,34.38,0.0,0,0,Cloudy,Low
18,4,Brigade Road,509,34.91,0.0,0,0,Clear,Low
8,4,Indiranagar 100ft Road,599,32.96,5.25,0,0,Rainy,Low
23,3,Sarjapur Road,173,31.88,31.93,0,0,Heavy Rain,Low
17,0,Bannerghatta Road,636,28.35,26.43,0,0,Heavy Rain,Medium
14,1,MG Road,299,35.25,8.79,0,0,Rainy,Low
4,5,Bannerghatta Road,134,38.66,0.0,1,0,Cloudy,Low
13,5,Brigade Road,170,32.93,26.86,1,0,Heavy Rain,Low
10,6,Bannerghatta Road,305,35.07,9.39,1,0,Rainy,Low
20,2,Sarjapur Road,733,17.67,0.0,0,1,Clear,Medium
22,1,Silk Board Junction,228,37.72,0.0,0,0,Clear,Low
8,5,Sarjapur Road,445,32.9,13.25,1,0,Rainy,Low
12,3,Brigade Road,215,37.85,0.0,0,0,Clear,Low
22,4,Sarjapur Road,234,37.66,0.0,0,0,Clear,Low
0,2,Silk Board Junction,199,38.01,0.0,0,0,Cloudy,Low
5,3,Silk Board Junction,177,32.12,30.57,0,0,Heavy Rain,Low
22,0,Hebbal Flyover,175,38.25,0.0,0,0,Clear,Low
5,4,Whitefield Main Road,268,37.32,0.0,0,0,Cloudy,Low
18,5,Brigade Road,417,30.66,25.87,1,0,Heavy Rain,Low
4,1,Bannerghatta Road,218,37.82,0.0,0,0,Clear,Low
2,4,Indiranagar 100ft Road,165,38.35,0.0,0,0,Cloudy,Low
1,2,Silk Board Junction,172,32.62,28.32,0,0,Heavy Rain,Low
9,1,Bannerghatta Road,430,35.7,0.0,0,0,Clear,Low
23,1,Brigade Road,263,37.37,0.0,0,0,Clear,Low
13,1,Indiranagar 100ft Road,258,32.41,25.03,0,0,Heavy Rain,Low
18,2,Silk Board Junction,269,34.85,12.28,1,0,Rainy,Low
19,4,Sarjapur Road,511,34.89,0.0,0,0,Clear,Low
19,5,Silk Board Junction,321,36.79,0.0,1,0,Clear,Low
16,0,Indiranagar 100ft Road,243,31.49,30.42,0,0,Heavy Rain,Low
13,5,Electronic City Flyover,135,38.65,0.0,1,0,Cloudy,Low
3,5,Hebbal Flyover,107,36.71,11.09,1,0,Rainy,Low
6,6,Whitefield Main Road,101,38.99,0.0,1,0,Clear,Low
1,2,Sarjapur Road,289,37.11,0.0,0,0,Cloudy,Low
4,4,Electronic City Flyover,97,39.03,0.0,1,0,Cloudy,Low
10,6,Electronic City Flyover,439,29.35,31.32,1,0,Heavy Rain,Medium
13,6,Electronic City Flyover,170,36.01,11.47,1,0,Rainy,Low
5,0,Electronic City Flyover,174,28.58,48.42,0,0,Heavy Rain,Medium
11,6,MG Road,439,20.61,0.0,1,1,Cloudy,Medium
9,6,MG Road,440,27.8,39.0,1,0,Heavy Rain,Medium
17,1,Whitefield Main Road,645,31.9,8.26,0,0,Rainy,Low
3,6,MG Road,127,38.73,0.0,1,0,Clear,Low
20,6,Silk Board Junction,364,34.48,9.42,1,0,Rainy,Low
10,6,MG Road,284,34.64,12.59,1,0,Rainy,Low
23,6,Outer Ring Road,137,38.63,0.0,1,0,Clear,Low
17,2,Sarjapur Road,423,34.19,7.91,0,0,Rainy,Low
7,5,Silk Board Junction,139,28.76,49.24,1,0,Heavy Rain,Medium
2,0,Bannerghatta Road,220,35.18,13.11,0,0,Rainy,Low
21,0,Outer Ring Road,476,35.24,0.0,0,0,Clear,Low
6,6,Indiranagar 100ft Road,179,37.12,5.46,1,0,Rainy,Low
7,6,Outer Ring Road,127,38.73,0.0,1,0,Cloudy,Low
6,6,Silk Board Junction,176,36.14,10.51,1,0,Rainy,Low
11,1,Hebbal Flyover,678,33.22,0.0,0,0,Cloudy,Low
21,5,Indiranagar 100ft Road,304,32.36,23.01,1,0,Heavy Rain,Low
15,6,Bannerghatta Road,130,38.7,0.0,1,0,Cloudy,Low
16,0,Outer Ring Road,259,30.34,35.36,0,0,Heavy Rain,Low
13,5,Hebbal Flyover,122,30.5,41.4,1,0,Heavy Rain,Low
3,2,MG Road,166,35.09,16.26,0,0,Rainy,Low
17,6,Silk Board Junction,407,35.93,0.0,1,0,Cloudy,Low
7,4,Hebbal Flyover,278,37.22,0.0,0,0,Cloudy,Low
17,5,Brigade Road,302,36.98,0.0,1,0,Cloudy,Low
12,1,Sarjapur Road,294,34.5,12.78,0,0,Rainy,Low
